movie_id,title,release_year,runtime_minutes,primary_genre,language,country,content_rating,is_short_film,budget_usd,marketing_budget_usd,director_score,cast_score,imdb_score,rating_category
REAL-1079,The Present,2020,24,Drama,Arabic,Palestine,PG,1,50000,15000,8.2,7.8,7.6,High
REAL-1080,Two Distant Strangers,2020,32,Sci-Fi,English,USA,TV-MA,1,100000,30000,8.0,7.9,6.9,Medium
REAL-1081,Bear Story,2014,10,Animation,Spanish,Chile,G,1,40000,10000,8.1,7.5,7.7,High
REAL-1082,Hair Love,2019,7,Animation,English,USA,G,1,300000,50000,8.4,8.2,7.4,Medium
REAL-1083,The Neighbors' Window,2019,20,Drama,English,USA,PG-13,1,25000,8000,8.2,7.9,7.7,High
REAL-1084,World of Tomorrow,2015,17,Animation,English,USA,PG,1,20000,5000,8.8,8.1,8.1,High
REAL-1085,Bao,2018,8,Animation,English,USA,G,1,500000,100000,8.5,7.8,7.5,High
REAL-1086,Skin,2018,20,Drama,English,USA,R,1,60000,15000,8.0,7.8,7.3,Medium
REAL-1087,An Irish Goodbye,2022,23,Comedy,English,UK,PG-13,1,45000,12000,8.1,7.9,7.4,Medium
REAL-1088,Morbius,2022,104,Action,English,USA,PG-13,0,75000000,25000000,4.5,6.0,5.2,Low
REAL-1089,Madame Web,2024,116,Action,English,USA,PG-13,0,80000000,20000000,3.8,5.5,3.9,Low
REAL-1090,Cats,2019,110,Comedy,English,USA,PG,0,95000000,30000000,3.5,6.5,2.8,Low
REAL-1091,The Room,2003,99,Drama,English,USA,R,0,6000000,500000,2.0,2.5,3.7,Low
REAL-1092,Fast X,2023,141,Action,English,USA,PG-13,0,340000000,80000000,6.0,7.0,5.8,Medium
REAL-1093,Race 3,2018,160,Action,Hindi,India,UA,0,20000000,5000000,3.5,6.0,1.9,Low
REAL-1094,Himmatwala,2013,150,Action,Hindi,India,UA,0,9000000,2000000,3.0,5.0,1.7,Low
REAL-1095,Adipurush,2023,179,Action,Telugu,India,UA,0,65000000,15000000,4.0,6.5,3.8,Low
TMDB-19995,Avatar,2001,98,Sci-Fi,English,USA,PG-13,0,74000000,22200000,9.8,10.0,9.1,High
TMDB-285,Pirates of the Caribbean: At World's End,2016,128,Documentary,Japanese,France,PG-13,0,89000000,26700000,9.8,9.1,8.8,High
TMDB-206647,Spectre,2021,123,Sci-Fi,German,France,PG-13,0,94000000,28200000,9.8,10.0,9.1,High
TMDB-49026,The Dark Knight Rises,2004,107,Comedy,Telugu,India,PG-13,0,53000000,15900000,9.8,10.0,9.1,High
TMDB-49529,John Carter,2021,97,Animation,English,USA,PG-13,0,118000000,35400000,9.2,8.2,8.2,High
TMDB-559,Spider-Man 3,2011,87,Animation,Telugu,India,PG-13,0,108000000,32400000,9.8,10.0,9.1,High
TMDB-38757,Tangled,2009,134,Mystery,Korean,France,R,0,10000000,3000000,6.8,6.6,6.6,Medium
TMDB-99861,Avengers: Age of Ultron,2005,92,Animation,Hindi,India,PG-13,0,78000000,23400000,8.4,10.0,8.5,High
TMDB-767,Harry Potter and the Half-Blood Prince,2000,114,Horror,Korean,France,PG-13,0,25000000,7500000,8.4,10.0,8.5,High
TMDB-209112,Batman v Superman: Dawn of Justice,2018,162,Comedy,Telugu,India,PG-13,0,43000000,12900000,9.8,10.0,9.1,High
TMDB-1452,Superman Returns,2014,95,Action,French,France,PG-13,0,111000000,33300000,9.8,7.2,8.1,High
TMDB-10764,Quantum of Solace,2007,132,Animation,Korean,France,PG-13,0,8000000,2400000,9.8,8.8,8.7,High
TMDB-58,Pirates of the Caribbean: Dead Man's Chest,2008,98,Documentary,Spanish,France,PG-13,0,9000000,2700000,9.8,9.0,8.8,High
TMDB-57201,The Lone Ranger,2011,131,Drama,Telugu,India,PG-13,0,12000000,3600000,9.8,10.0,9.1,High
TMDB-49521,Man of Steel,2014,137,Comedy,French,France,PG-13,0,63000000,18900000,9.8,9.0,8.8,High
TMDB-2454,The Chronicles of Narnia: Prince Caspian,2009,155,Romance,Korean,France,PG-13,0,106000000,31800000,9.8,7.5,8.2,High
TMDB-24428,The Avengers,2002,141,Thriller,Spanish,France,PG-13,0,27000000,8100000,8.4,10.0,8.5,High
TMDB-1865,Pirates of the Caribbean: On Stranger Tides,2022,106,Thriller,Hindi,India,PG-13,0,47000000,14100000,9.8,9.2,8.8,High
TMDB-41154,Men in Black 3,2000,97,Comedy,French,France,PG-13,0,73000000,21900000,9.8,7.2,8.1,High
TMDB-122917,The Hobbit: The Battle of the Five Armies,2007,130,Romance,German,France,PG-13,0,56000000,16800000,9.8,10.0,9.1,High
TMDB-1930,The Amazing Spider-Man,2002,132,Comedy,Hindi,India,PG-13,0,3000000,900000,8.4,10.0,8.5,High
TMDB-20662,Robin Hood,2012,105,Action,English,USA,PG-13,0,61000000,18300000,9.8,9.1,8.8,High
TMDB-57158,The Hobbit: The Desolation of Smaug,2013,89,Mystery,Telugu,India,PG-13,0,110000000,33000000,9.8,8.8,8.7,High
TMDB-2268,The Golden Compass,2009,150,Romance,French,France,PG-13,0,106000000,31800000,9.8,8.5,8.6,High
TMDB-254,King Kong,2005,85,Romance,French,France,PG-13,0,6000000,1800000,9.8,9.0,8.8,High
TMDB-597,Titanic,2000,120,Action,English,USA,PG-13,0,1000000,300000,9.8,10.0,9.1,High
TMDB-271110,Captain America: Civil War,2019,104,Mystery,English,USA,PG-13,0,20000000,6000000,9.2,10.0,8.8,High
TMDB-44833,Battleship,2009,124,Mystery,Hindi,India,PG-13,0,10000000,3000000,9.8,10.0,9.1,High
TMDB-135397,Jurassic World,2004,126,Thriller,French,France,PG-13,0,77000000,23100000,7.6,8.4,7.6,High
TMDB-37724,Skyfall,2011,139,Mystery,Hindi,India,PG-13,0,60000000,18000000,9.8,7.9,8.4,High
TMDB-558,Spider-Man 2,2022,121,Thriller,French,France,PG-13,0,47000000,14100000,9.8,10.0,9.1,High
TMDB-68721,Iron Man 3,2009,118,Sci-Fi,Telugu,India,PG-13,0,34000000,10200000,7.6,10.0,8.1,High
TMDB-12155,Alice in Wonderland,2016,166,Thriller,Japanese,France,PG-13,0,17000000,5100000,9.8,9.2,8.8,High
TMDB-36668,X-Men: The Last Stand,2013,157,Animation,French,France,PG-13,0,38000000,11400000,9.8,8.8,8.7,High
TMDB-62211,Monsters University,2017,147,Animation,Telugu,India,PG-13,0,18000000,5400000,6.8,7.9,7.0,Medium
TMDB-8373,Transformers: Revenge of the Fallen,2009,131,Drama,Telugu,India,PG-13,0,82000000,24600000,9.8,9.4,8.9,High
TMDB-91314,Transformers: Age of Extinction,2021,93,Sci-Fi,Japanese,France,PG-13,0,94000000,28200000,9.8,9.9,9.1,High
TMDB-68728,Oz: The Great and Powerful,2014,107,Comedy,German,France,PG-13,0,63000000,18900000,9.8,10.0,9.1,High
TMDB-102382,The Amazing Spider-Man 2,2000,113,Documentary,Telugu,India,PG-13,0,49000000,14700000,8.4,10.0,8.5,High
TMDB-20526,TRON: Legacy,2008,147,Comedy,Korean,France,PG-13,0,33000000,9900000,7.6,7.8,7.4,Medium
TMDB-49013,Cars 2,2019,130,Romance,Japanese,France,PG-13,0,116000000,34800000,9.2,10.0,8.8,High
TMDB-44912,Green Lantern,2014,97,Comedy,Japanese,France,PG-13,0,63000000,18900000,9.8,7.8,8.3,High
TMDB-10193,Toy Story 3,2013,117,Animation,French,France,PG-13,0,38000000,11400000,6.8,10.0,7.8,High
TMDB-534,Terminator Salvation,2004,96,Thriller,Korean,France,PG-13,0,77000000,23100000,9.8,6.8,8.0,High
TMDB-168259,Furious 7,2001,147,Animation,Tamil,India,PG-13,0,98000000,29400000,9.8,10.0,9.1,High
TMDB-72190,World War Z,2023,122,Animation,Telugu,India,PG-13,0,48000000,14400000,9.8,7.6,8.3,High
TMDB-127585,X-Men: Days of Future Past,2016,106,Thriller,Telugu,India,PG-13,0,17000000,5100000,9.8,10.0,9.1,High
TMDB-54138,Star Trek Into Darkness,2002,165,Action,Spanish,France,PG-13,0,51000000,15300000,9.2,10.0,8.8,High
TMDB-81005,Jack the Giant Slayer,2013,141,Drama,Tamil,India,PG-13,0,62000000,18600000,9.8,7.8,8.3,High
TMDB-64682,The Great Gatsby,2009,120,Romance,Hindi,India,PG-13,0,106000000,31800000,9.2,8.7,8.4,High
TMDB-9543,Prince of Persia: The Sands of Time,2016,109,Horror,English,USA,PG-13,0,65000000,19500000,9.8,6.6,7.9,High
TMDB-68726,Pacific Rim,2006,92,Comedy,Tamil,India,PG-13,0,103000000,30900000,9.8,10.0,9.1,High
TMDB-38356,Transformers: Dark of the Moon,2009,162,Animation,French,France,PG-13,0,58000000,17400000,9.8,9.7,9.0,High
TMDB-217,Indiana Jones and the Kingdom of the Crystal Skull,2017,159,Mystery,English,USA,PG-13,0,90000000,27000000,9.8,9.6,9.0,High
TMDB-105864,The Good Dinosaur,2019,128,Sci-Fi,Japanese,France,R,0,44000000,13200000,6.8,7.3,6.8,Medium
TMDB-62177,Brave,2006,103,Documentary,German,France,R,0,79000000,23700000,6.8,6.8,6.6,Medium
TMDB-188927,Star Trek Beyond,2008,140,Action,Korean,France,PG-13,0,81000000,24300000,9.8,9.0,8.8,High
TMDB-10681,WALL·E,2002,162,Comedy,Hindi,India,PG-13,0,3000000,900000,9.2,8.5,8.3,High
TMDB-5174,Rush Hour 3,2023,167,Animation,Telugu,India,PG-13,0,48000000,14400000,9.8,7.2,8.1,High
TMDB-14161,2012,2000,86,Thriller,Spanish,France,PG-13,0,97000000,29100000,9.8,10.0,9.1,High
TMDB-17979,A Christmas Carol,2000,141,Thriller,Telugu,India,PG-13,0,97000000,29100000,9.8,7.2,8.1,High
TMDB-76757,Jupiter Ascending,2002,113,Documentary,French,France,PG-13,0,99000000,29700000,9.8,10.0,9.1,High
TMDB-258489,The Legend of Tarzan,2022,167,Comedy,Tamil,India,PG-13,0,23000000,6900000,8.4,9.1,8.2,High
TMDB-411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,155,Romance,Spanish,France,PG-13,0,6000000,1800000,9.8,7.9,8.4,High
TMDB-246655,X-Men: Apocalypse,2016,168,Documentary,French,France,PG-13,0,89000000,26700000,9.8,10.0,9.1,High
TMDB-14160,Up,2018,111,Thriller,Telugu,India,PG-13,0,67000000,20100000,8.4,6.9,7.4,Medium
TMDB-15512,Monsters vs Aliens,2006,155,Action,English,USA,PG-13,0,31000000,9300000,8.4,8.4,7.9,High
TMDB-1726,Iron Man,2009,153,Sci-Fi,Telugu,India,PG-13,0,34000000,10200000,9.8,10.0,9.1,High
TMDB-44826,Hugo,2001,166,Drama,Tamil,India,PG-13,0,2000000,600000,9.8,8.4,8.5,High
TMDB-8487,Wild Wild West,2011,148,Sci-Fi,French,France,PG-13,0,84000000,25200000,9.8,8.5,8.6,High
TMDB-1735,The Mummy: Tomb of the Dragon Emperor,2009,106,Drama,Telugu,India,PG-13,0,82000000,24600000,9.8,6.8,8.0,High
TMDB-297761,Suicide Squad,2003,142,Animation,Hindi,India,PG-13,0,28000000,8400000,9.8,10.0,9.1,High
TMDB-2698,Evan Almighty,2006,102,Comedy,Tamil,India,PG-13,0,103000000,30900000,9.8,7.2,8.1,High
TMDB-137113,Edge of Tomorrow,2011,137,Animation,French,France,PG-13,0,108000000,32400000,9.8,9.8,9.0,High
TMDB-9804,Waterworld,2017,123,Sci-Fi,Telugu,India,PG-13,0,114000000,34200000,9.8,6.8,8.0,High
TMDB-14869,G.I. Joe: The Rise of Cobra,2021,141,Drama,Hindi,India,PG-13,0,22000000,6600000,9.2,7.8,8.1,High
TMDB-150540,Inside Out,2022,142,Comedy,Telugu,India,PG-13,0,23000000,6900000,8.4,10.0,8.5,High
TMDB-278927,The Jungle Book,2020,112,Comedy,Korean,France,PG-13,0,93000000,27900000,9.8,8.6,8.6,High
TMDB-10138,Iron Man 2,2003,152,Animation,Japanese,France,PG-13,0,28000000,8400000,9.8,10.0,9.1,High
TMDB-58595,Snow White and the Huntsman,2002,159,Horror,Spanish,France,PG-13,0,75000000,22500000,6.8,9.3,7.5,High
TMDB-102651,Maleficent,2007,116,Drama,Spanish,France,PG-13,0,32000000,9600000,6.8,10.0,7.8,High
TMDB-119450,Dawn of the Planet of the Apes,2001,169,Mystery,Hindi,India,PG-13,0,50000000,15000000,9.2,9.0,8.5,High
TMDB-79698,The Lovers,2007,142,Animation,Telugu,India,PG-13,0,8000000,2400000,8.4,7.3,7.5,High
TMDB-64686,47 Ronin,2002,95,Action,Korean,France,PG-13,0,51000000,15300000,6.8,7.9,7.0,Medium
TMDB-100402,Captain America: The Winter Soldier,2007,112,Animation,Hindi,India,PG-13,0,8000000,2400000,9.2,10.0,8.8,High
TMDB-10192,Shrek Forever After,2000,141,Thriller,Telugu,India,PG-13,0,97000000,29100000,9.2,9.2,8.6,High
TMDB-158852,Tomorrowland,2018,136,Thriller,Tamil,India,PG-13,0,67000000,20100000,9.2,10.0,8.8,High
TMDB-177572,Big Hero 6,2006,113,Documentary,Telugu,India,PG-13,0,79000000,23700000,7.6,10.0,8.1,High
TMDB-82690,Wreck-It Ralph,2005,157,Animation,Tamil,India,PG-13,0,78000000,23400000,6.8,10.0,7.8,High
TMDB-5255,The Polar Express,2007,159,Mystery,Japanese,France,PG-13,0,80000000,24000000,9.8,6.2,7.8,High
TMDB-47933,Independence Day: Resurgence,2007,121,Drama,Korean,France,PG-13,0,32000000,9600000,9.8,10.0,9.1,High
TMDB-10191,How to Train Your Dragon,2011,89,Mystery,Hindi,India,PG-13,0,60000000,18000000,8.4,6.6,7.3,Medium
TMDB-296,Terminator 3: Rise of the Machines,2020,140,Action,Korean,France,PG-13,0,21000000,6300000,9.2,6.7,7.7,High
TMDB-118340,Guardians of the Galaxy,2015,105,Romance,Hindi,India,PG-13,0,16000000,4800000,8.4,10.0,8.5,High
TMDB-315011,Shin Godzilla,2012,130,Action,Telugu,India,PG-13,0,61000000,18300000,6.8,10.0,7.8,High
TMDB-49051,The Hobbit: An Unexpected Journey,2008,163,Documentary,Tamil,India,PG-13,0,9000000,2700000,9.8,8.6,8.6,High
TMDB-9799,The Fast and the Furious,2013,156,Drama,French,France,PG-13,0,62000000,18600000,9.8,8.6,8.6,High
TMDB-4922,The Curious Case of Benjamin Button,2021,89,Mystery,Spanish,France,PG-13,0,70000000,21000000,9.8,9.4,8.9,High
TMDB-49538,X-Men: First Class,2007,122,Animation,French,France,PG-13,0,8000000,2400000,9.2,9.9,8.8,High
TMDB-131634,The Hunger Games: Mockingjay - Part 2,2012,87,Comedy,Telugu,India,PG-13,0,13000000,3900000,9.8,10.0,9.1,High
TMDB-27022,The Sorcerer's Apprentice,2017,85,Romance,Telugu,India,PG-13,0,66000000,19800000,9.8,6.7,8.0,High
TMDB-503,Poseidon,2011,102,Animation,German,France,PG-13,0,108000000,32400000,9.8,6.7,8.0,High
TMDB-241259,Alice Through the Looking Glass,2020,129,Horror,Tamil,India,PG-13,0,45000000,13500000,8.4,10.0,8.5,High
TMDB-810,Shrek the Third,2011,116,Drama,Tamil,India,PG-13,0,12000000,3600000,7.6,9.9,8.1,High
TMDB-68735,Warcraft,2019,124,Mystery,Tamil,India,PG-13,0,20000000,6000000,8.4,10.0,8.5,High
TMDB-87101,Terminator Genisys,2019,146,Drama,Korean,France,PG-13,0,92000000,27600000,7.6,8.8,7.7,High
TMDB-10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2014,107,Comedy,Korean,France,PG-13,0,63000000,18900000,9.8,7.3,8.2,High
TMDB-676,Pearl Harbor,2020,102,Comedy,English,USA,PG-13,0,93000000,27900000,9.8,10.0,9.1,High
TMDB-1858,Transformers,2017,165,Romance,German,France,PG-13,0,66000000,19800000,9.8,9.6,9.0,High
TMDB-1966,Alexander,2023,87,Animation,German,France,PG-13,0,48000000,14400000,9.8,10.0,9.1,High
TMDB-675,Harry Potter and the Order of the Phoenix,2013,109,Mystery,French,France,PG-13,0,110000000,33000000,8.4,10.0,8.5,High
TMDB-674,Harry Potter and the Goblet of Fire,2022,93,Documentary,English,USA,PG-13,0,119000000,35700000,9.8,10.0,9.1,High
TMDB-8960,Hancock,2010,156,Thriller,English,USA,PG-13,0,107000000,32100000,9.8,9.0,8.8,High
TMDB-6479,I Am Legend,2012,136,Thriller,Telugu,India,PG-13,0,37000000,11100000,9.8,6.6,7.9,High
TMDB-118,Charlie and the Chocolate Factory,2009,132,Animation,Tamil,India,PG-13,0,58000000,17400000,9.8,8.8,8.7,High
TMDB-2062,Ratatouille,2010,166,Thriller,French,France,PG-13,0,107000000,32100000,6.8,7.8,7.0,Medium
TMDB-272,Batman Begins,2007,110,Romance,German,France,PG-13,0,56000000,16800000,9.8,10.0,9.1,High
TMDB-10527,Madagascar: Escape 2 Africa,2009,147,Animation,Spanish,France,PG-13,0,58000000,17400000,9.2,10.0,8.8,High
TMDB-18360,Night at the Museum: Battle of the Smithsonian,2023,140,Romance,Hindi,India,PG-13,0,96000000,28800000,9.8,10.0,9.1,High
TMDB-2080,X-Men Origins: Wolverine,2001,147,Animation,Korean,France,PG-13,0,98000000,29400000,9.2,10.0,8.8,High
TMDB-605,The Matrix Revolutions,2009,160,Romance,French,France,PG-13,0,106000000,31800000,9.8,7.6,8.3,High
TMDB-109445,Frozen,2018,100,Action,German,France,PG-13,0,91000000,27300000,6.8,10.0,7.8,High
TMDB-604,The Matrix Reloaded,2019,96,Drama,Spanish,France,PG-13,0,92000000,27600000,9.8,10.0,9.1,High
TMDB-76338,Thor: The Dark World,2012,168,Documentary,Tamil,India,PG-13,0,109000000,32700000,7.6,10.0,8.1,High
TMDB-76341,Mad Max: Fury Road,2019,132,Animation,German,France,PG-13,0,68000000,20400000,9.8,10.0,9.1,High
TMDB-13448,Angels & Demons,2003,158,Sci-Fi,German,France,PG-13,0,4000000,1200000,9.8,10.0,9.1,High
TMDB-10195,Thor,2011,159,Mystery,Korean,France,PG-13,0,60000000,18000000,9.8,8.8,8.7,High
TMDB-13053,Bolt,2009,110,Romance,Japanese,France,PG-13,0,106000000,31800000,7.6,6.9,7.0,Medium
TMDB-19585,G-Force,2003,152,Animation,Hindi,India,R,0,28000000,8400000,6.8,7.5,6.9,Medium
TMDB-57165,Wrath of the Titans,2021,103,Sci-Fi,German,France,PG-13,0,94000000,28200000,9.8,7.2,8.1,High
TMDB-62213,Dark Shadows,2002,155,Action,Korean,France,PG-13,0,51000000,15300000,9.8,8.0,8.4,High
TMDB-177677,Mission: Impossible - Rogue Nation,2013,147,Animation,French,France,PG-13,0,38000000,11400000,8.4,10.0,8.5,High
TMDB-7978,The Wolfman,2008,92,Comedy,Tamil,India,PG-13,0,33000000,9900000,9.2,6.7,7.7,High
TMDB-5559,Bee Movie,2017,160,Romance,Spanish,France,PG-13,0,66000000,19800000,6.8,8.0,7.1,Medium
